Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Michael Kidd-Gilchrist,Hassan Whiteside,Robin Lopez,Jimmy Butler,Kelly Oubre Jr.,Wesley Matthews,Jeff Teague,LeBron James,CHA,MIA,CHI,CHI,WAS,DAL,IND,CLE,SF,C,C,SG,SG,SG,PG,SF,285.358,303.75,63,Dec102016,0,90.9
Pau Gasol,Nikola Jokic,Trevor Booker,Nicolas Batum,Bojan Bogdanovic,Wesley Matthews,Damian Lillard,LeBron James,SA,DEN,BKN,CHA,BKN,DAL,POR,CLE,C,C,PF,SG,SG,SG,PG,SF,290.408,302.25,7,Dec102016,0,97.72
Michael Kidd-Gilchrist,Robin Lopez,John Henson,Bojan Bogdanovic,Chris Paul,Damian Lillard,Rajon Rondo,LeBron James,CHA,CHI,MIL,BKN,LAC,POR,CHI,CLE,SF,C,C,SG,PG,PG,PG,SF,286.258,300.5,48,Dec102016,0,92.39
Rudy Gobert,Brook Lopez,Kevin Love,Bojan Bogdanovic,Evan Fournier,Chris Paul,Rajon Rondo,Patrick Beverley,UTA,BKN,CLE,BKN,ORL,LAC,CHI,HOU,C,C,PF,SG,SG,PG,PG,PG,283.958,300.0,98,Dec102016,0,93.36
Omri Casspi,Rudy Gobert,Greg Monroe,Kevin Love,Nicolas Batum,Wesley Matthews,Jeff Teague,LeBron James,SAC,UTA,MIL,CLE,CHA,DAL,IND,CLE,SF,C,C,PF,SG,SG,PG,SF,287.368,294.75,30,Dec102016,0,93.78
DeMarcus Cousins,Omri Casspi,Brook Lopez,Nikola Jokic,Bradley Beal,Rodney Stuckey,Wesley Matthews,LeBron James,SAC,SAC,BKN,DEN,WAS,IND,DAL,CLE,PF,SF,C,C,SG,PG,SG,SF,283.998,287.75,97,Dec102016,0,110.24
Hassan Whiteside,Nikola Jokic,C.J. McCollum,Marvin Williams,Kevin Love,Nicolas Batum,Evan Fournier,Wesley Matthews,MIA,DEN,POR,CHA,CLE,CHA,ORL,DAL,C,C,PG,PF,PF,SG,SG,SG,287.308,286.0,31,Dec102016,0,93.21
Rudy Gobert,John Henson,Jimmy Butler,Nicolas Batum,Bojan Bogdanovic,Sean Kilpatrick,Wesley Matthews,Chris Paul,UTA,MIL,CHI,CHA,BKN,BKN,DAL,LAC,C,C,SG,SG,SG,SG,SG,PG,288.968,283.0,15,Dec102016,0,83.71
Nikola Jokic,Robin Lopez,Evan Turner,Sean Kilpatrick,Chris Paul,LeBron James,Harrison Barnes,Trevor Ariza,DEN,CHI,POR,BKN,LAC,CLE,DAL,HOU,C,C,SG,SG,PG,SF,SF,SF,285.968,282.75,51,Dec102016,0,86.77
Omri Casspi,Hassan Whiteside,Nikola Jokic,Nicolas Batum,Evan Turner,Dwyane Wade,Rajon Rondo,LeBron James,SAC,MIA,DEN,CHA,POR,CHI,CHI,CLE,SF,C,C,SG,SG,SG,PG,SF,287.868,282.75,27,Dec102016,0,102.98
Nikola Jokic,Kevin Love,Patrick McCaw,Bradley Beal,Evan Fournier,Jeff Teague,Rajon Rondo,LeBron James,DEN,CLE,GS,WAS,ORL,IND,CHI,CLE,C,PF,SG,SG,SG,PG,PG,SF,284.058,279.75,95,Dec102016,0,101.83
Brook Lopez,Greg Monroe,Nicolas Batum,Evan Turner,Tony Allen,Damian Lillard,LeBron James,Trevor Ariza,BKN,MIL,CHA,POR,MEM,POR,CLE,HOU,C,C,SG,SG,SG,PG,SF,SF,284.328,277.5,86,Dec102016,0,95.23
Nikola Jokic,C.J. McCollum,Bojan Bogdanovic,Sean Kilpatrick,Rodney Stuckey,Rajon Rondo,LeBron James,Kevin Durant,DEN,POR,BKN,BKN,IND,CHI,CLE,GS,C,PG,SG,SG,PG,PG,SF,SF,285.608,274.25,57,Dec102016,0,98.46
Rudy Gobert,Pau Gasol,C.J. McCollum,C.J. Miles,Klay Thompson,Sean Kilpatrick,Wesley Matthews,LeBron James,UTA,SA,POR,IND,GS,BKN,DAL,CLE,C,C,PG,SG,SG,SG,SG,SF,285.008,273.5,73,Dec102016,0,95.28
Nikola Jokic,Greg Monroe,C.J. Miles,Dwyane Wade,Sean Kilpatrick,Damian Lillard,Jeff Teague,LeBron James,DEN,MIL,IND,CHI,BKN,POR,IND,CLE,C,C,SG,SG,SG,PG,PG,SF,288.838,270.0,18,Dec102016,0,103.53
Hassan Whiteside,Rudy Gobert,C.J. McCollum,Trevor Booker,Bojan Bogdanovic,Wesley Matthews,Jeff Teague,Rajon Rondo,MIA,UTA,POR,BKN,BKN,DAL,IND,CHI,C,C,PG,PF,SG,SG,PG,PG,288.468,269.25,19,Dec102016,0,88.06
Brook Lopez,Nikola Jokic,Jimmy Butler,Bojan Bogdanovic,Klay Thompson,Rodney McGruder,Jeff Teague,LeBron James,BKN,DEN,CHI,BKN,GS,MIA,IND,CLE,C,C,SG,SG,SG,SG,PG,SF,287.278,268.0,32,Dec102016,0,95.16
Nikola Jokic,Robin Lopez,Kevin Love,Nicolas Batum,Rodney Stuckey,Rodney McGruder,John Wall,LeBron James,DEN,CHI,CLE,CHA,IND,MIA,WAS,CLE,C,C,PF,SG,PG,SG,PG,SF,284.438,266.75,84,Dec102016,0,99.67
Joe Ingles,Brook Lopez,John Henson,Kevin Love,Klay Thompson,Wesley Matthews,Rajon Rondo,LeBron James,UTA,BKN,MIL,CLE,GS,DAL,CHI,CLE,SF,C,C,PF,SG,SG,PG,SF,284.968,265.25,75,Dec102016,0,103.63
Hassan Whiteside,John Henson,Kevin Love,Bojan Bogdanovic,Bradley Beal,Wesley Matthews,Damian Lillard,Elfrid Payton,MIA,MIL,CLE,BKN,WAS,DAL,POR,ORL,C,C,PF,SG,SG,SG,PG,PG,284.008,264.0,96,Dec102016,0,94.49
Omri Casspi,Nikola Jokic,Robin Lopez,Kevin Love,Klay Thompson,Wesley Matthews,Damian Lillard,Kevin Durant,SAC,DEN,CHI,CLE,GS,DAL,POR,GS,SF,C,C,PF,SG,SG,PG,SF,285.758,259.25,55,Dec102016,0,86.55
Pau Gasol,Mason Plumlee,Nicolas Batum,Patrick McCaw,Sean Kilpatrick,Chris Paul,Rajon Rondo,LeBron James,SA,POR,CHA,GS,BKN,LAC,CHI,CLE,C,C,SG,SG,SG,PG,PG,SF,286.878,257.25,39,Dec102016,0,95.23
DeMarcus Cousins,Michael Kidd-Gilchrist,Hassan Whiteside,Nikola Jokic,Wesley Matthews,Tony Allen,Malcolm Brogdon,Damian Lillard,SAC,CHA,MIA,DEN,DAL,MEM,MIL,POR,PF,SF,C,C,SG,SG,PG,PG,285.808,256.0,53,Dec102016,0,97.59
