Id,Name,Position,Team,Salary,Projected,Scored,Override
118061,Stephen Curry,PG,GS,9600,48.84,35.25,0
118062,Damian Lillard,PG,POR,8500,43.28,59.25,0
118063,Kyrie Irving,PG,CLE,8000,37.65,43.5,0
118064,Derrick Rose,PG,NY,5800,34.9821440572,22.75,0
118065,George Hill,PG,UTA,5300,25.16,36.5,0
118066,Tony Parker,PG,SA,4600,14.8569233192,18.25,0
118067,Brandon Jennings,PG,NY,4500,19.4499492384,17.75,0
118068,Patty Mills,PG,SA,3600,6.3239338737,29.25,0
118069,Jordan McRae,PG,CLE,3400,3.27151868972,2.0,0
118070,Dante Exum,PG,UTA,3400,11.02,7.5,0
118071,Kay Felder,PG,CLE,3100,0.1,0.0,0
118072,Shaun Livingston,PG,GS,3000,5.23968487634,6.0,0
118073,Phil Pressey,PG,GS,3000,0.1,0.0,0
118074,Nicolas Laprovittola,PG,SA,3000,0.1,2.5,0
118075,Ryan Arcidiacono,PG,SA,3000,0.1,0.0,0
118076,Bryn Forbes,PG,SA,3000,0.1,0.0,0
118077,Dejounte Murray,PG,SA,3000,0.1,0.0,0
118078,Mo Williams,PG,CLE,3000,0.1,0.0,0
118079,Chasson Randle,PG,NY,3000,0.1,0.0,0
118080,Shelvin Mack,PG,UTA,3000,13.25,15.25,0
118081,Shabazz Napier,PG,POR,3000,2.44585555099,0.0,0
118082,Raul Neto,PG,UTA,3000,7.85,0.0,0
118083,Tim Quarterman,PG,POR,3000,0.1,0.0,0
118084,Kevin Durant,SF/PF,GS,9400,45.53,55.5,0
118085,LeBron James,SF/PF,CLE,9000,54.12,58.25,0
118086,Lance Thomas,SF/PF,NY,3100,7.85515356184,8.25,0
118087,Kawhi Leonard,SF,SA,7800,41.37,54.75,0
118088,Carmelo Anthony,SF,NY,7600,33.25,30.25,0
118089,Gordon Hayward,SF,UTA,6800,0.0,0.0,0
118090,Maurice Harkless,SF,POR,3700,16.9714217968,5.75,0
118091,Andre Iguodala,SF,GS,3500,11.6427057095,10.5,0
118092,Kyle Anderson,SF,SA,3500,15.0508613388,10.5,0
118093,Joe Ingles,SF,UTA,3500,19.4790282104,5.0,0
118094,Davis Bertans,SF,SA,3000,0.1,6.75,0
118095,Richard Jefferson,SF,CLE,3000,2.48525188062,23.5,0
118096,Mindaugas Kuzminskas,SF,NY,3000,0.1,8.75,0
118097,J.P. Tokoto,SF,NY,3000,0.1,0.0,0
118098,Damien Inglis,SF,NY,3000,4.25,0.0,0
118099,Chris Johnson,SF,UTA,3000,0.1,0.0,0
118100,Pat Connaughton,SF,POR,3000,0.1,0.0,0
118101,Kristaps Porzingis,PF,NY,7400,38.05,31.25,0
118102,Derrick Favors,PF,UTA,6700,0.0,0.0,0
118103,Al-Farouq Aminu,PF,POR,4400,18.4195014456,18.0,0
118104,Meyers Leonard,PF,POR,3600,9.89187604677,2.75,0
118105,David Lee,PF,SA,3300,1.84251149503,15.5,0
118106,Channing Frye,PF,CLE,3200,0.1,15.5,0
118107,David West,PF,GS,3100,7.19741103791,4.5,0
118108,Joel Anthony,PF,SA,3000,0.1,0.0,0
118109,James Michael McAdoo,PF,GS,3000,0.1,0.0,0
118110,Livio Jean-Charles,PF,SA,3000,0.1,0.0,0
118111,Kevon Looney,PF,GS,3000,1.26671144454,0.0,0
118112,Louis Amundson,PF,NY,3000,1.81,0.0,0
118113,Cory Jefferson,PF,CLE,3000,8.56,0.0,0
118114,Jonathan Holmes,PF,CLE,3000,0.1,0.0,0
118115,Maurice Ndour,PF,NY,3000,0.1,0.0,0
118116,Joel Bolomboy,PF,UTA,3000,1.72791872639,0.0,0
118117,Grant Jerrett,PF,POR,3000,0.1,0.0,0
118118,Jake Layman,PF,POR,3000,0.1,0.0,0
118119,Noah Vonleh,PF,POR,3000,4.40501510768,14.75,0
118120,Draymond Green,PF/C,GS,7200,34.69,55.5,0
118121,LaMarcus Aldridge,PF/C,SA,7100,37.09,51.0,0
118122,Kevin Love,PF/C,CLE,7000,36.02,48.5,0
118123,Ed Davis,PF/C,POR,3800,13.5268040225,18.25,0
118124,Trey Lyles,PF/C,UTA,3600,24.0796243855,9.5,0
118125,Kyle O'Quinn,PF/C,NY,3200,0.1655278846,13.25,0
118126,Boris Diaw,PF/C,UTA,3100,21.4358566527,5.25,0
118127,Rudy Gobert,C,UTA,7000,29.21,36.5,0
118128,Pau Gasol,C,SA,6900,41.42,8.0,0
118129,Joakim Noah,C,NY,5500,21.83,13.5,0
118130,Tristan Thompson,C,CLE,5100,12.0144893548,6.5,0
118131,Mason Plumlee,C,POR,4900,24.4149249133,4.75,0
118132,Zaza Pachulia,C,GS,4000,12.1532286722,5.75,0
118133,Festus Ezeli,C,POR,3300,0.1,0.0,0
118134,Dewayne Dedmon,C,SA,3200,10.2753135648,15.5,0
118135,Anderson Varejao,C,GS,3000,1.25509028986,1.0,0
118136,JaVale McGee,C,GS,3000,1.62257696565,2.0,0
118137,Damian Jones,C,GS,3000,0.1,0.0,0
118138,Chris Andersen,C,CLE,3000,5.91746863369,4.0,0
118139,Marshall Plumlee,C,NY,3000,0.1,0.0,0
118140,Greg Stiemsma,C,POR,3000,0.1,0.0,0
118141,Jeff Withey,C,UTA,3000,7.17250461779,5.25,0
118142,Henry Sims,C,UTA,3000,0.1,0.0,0
118143,Klay Thompson,SG,GS,6500,29.61,15.25,0
118144,Rodney Hood,SG,UTA,6000,24.05,37.5,0
118145,Danny Green,SG,SA,4200,0.1,0.0,0
118146,J.R. Smith,SG,CLE,4100,15.2297564043,17.75,0
118147,Manu Ginobili,SG,SA,3900,8.93533156242,22.25,0
118148,Courtney Lee,SG,NY,3700,22.7256143836,4.75,0
118149,Alec Burks,SG,UTA,3300,0.1,0.0,0
118150,Iman Shumpert,SG,CLE,3100,7.67985859043,10.0,0
118151,Cameron Jones,SG,GS,3000,0.1,0.0,0
118152,Elliot Williams,SG,GS,3000,0.1,0.0,0
118153,Jonathon Simmons,SG,SA,3000,9.16341286744,32.0,0
118154,Patricio Garino,SG,SA,3000,0.1,0.0,0
118155,Dahntay Jones,SG,CLE,3000,0.1,0.0,0
118156,James Jones,SG,CLE,3000,3.84014758151,5.5,0
118157,Sasha Vujacic,SG,NY,3000,12.9989530507,2.0,0
118158,John Holland,SG,CLE,3000,0.1,0.0,0
118159,DeAndre Liggins,SG,CLE,3000,0.1,13.75,0
118160,Markel Brown,SG,CLE,3000,8.91,0.0,0
118161,Ron Baker,SG,NY,3000,1.56094923044,6.75,0
118162,C.J. McCollum,PG/SG,POR,6300,34.1,33.5,0
118163,Ian Clark,PG/SG,GS,3000,0.1,10.0,0
118164,Evan Turner,SG/SF,POR,4700,18.7123655945,20.75,0
118165,Joe Johnson,SG/SF,UTA,4300,24.56,41.0,0
118166,Allen Crabbe,SG/SF,POR,3400,8.5079890671,27.25,0
118167,Patrick McCaw,SG/SF,GS,3000,0.1,9.0,0
118168,Mike Dunleavy,SG/SF,CLE,3000,3.31026503928,18.0,0
118169,Justin Holiday,SG/SF,NY,3000,12.6328820389,21.5,0
118387,Guillermo Hernangomez,C,NY,3000,0.1,4.75,0
