Id,Name,Position,Team,Salary,Projected,Scored,Override
130982,James Harden,PG/SG,HOU,12000,65.21,58.75,0
130983,J.J. Barea,PG/SG,DAL,6800,32.25,24.75,0
130984,George Hill,PG/SG,UTA,6700,0.0,0.0,0
130985,Victor Oladipo,PG/SG,OKC,5400,33.7993219845,15.5,0
130986,Tyler Johnson,PG/SG,MIA,5200,20.6268926221,32.0,0
130987,Raymond Felton,PG/SG,LAC,3600,16.0117048098,17.5,0
130988,Andrew Harrison,PG/SG,MEM,3100,6.79233169699,10.5,0
130989,Rodney Stuckey,PG/SG,IND,3000,5.4686273796,0.0,0
130990,Randy Foye,PG/SG,BKN,3000,4.1444878235,17.5,0
130991,Anthony Davis,PF/C,NO,11300,55.44,55.0,0
130992,Myles Turner,PF/C,IND,6800,31.94,16.75,0
130993,LaMarcus Aldridge,PF/C,SA,6700,31.13,25.75,0
130994,Serge Ibaka,PF/C,ORL,5300,33.0718972265,24.25,0
130995,Jahlil Okafor,PF/C,PHI,5200,10.2850117667,13.25,0
130996,Clint Capela,PF/C,HOU,4900,24.52,35.75,0
130997,Kelly Olynyk,PF/C,BOS,4800,20.1036619525,16.0,0
130998,Dwight Powell,PF/C,DAL,4300,16.8177512733,13.5,0
130999,Marreese Speights,PF/C,LAC,3700,22.868306277,28.5,0
131000,Trey Lyles,PF/C,UTA,3300,11.7803756145,31.25,0
131001,Joffrey Lauvergne,PF/C,OKC,3000,3.44951930951,10.75,0
131002,Montrezl Harrell,PF/C,HOU,3000,4.58,7.0,0
131003,Boris Diaw,PF/C,UTA,3000,0.1,10.75,0
131004,Jarell Martin,PF/C,MEM,3000,5.14898813685,0.75,0
131005,Kyle O'Quinn,PF/C,NY,3000,0.1,8.0,0
131006,Luis Scola,PF/C,BKN,3000,8.14797593368,4.75,0
131007,Brandon Bass,PF/C,LAC,3000,13.2028034786,11.0,0
131008,Russell Westbrook,PG,OKC,10800,62.1,61.75,0
131009,Chris Paul,PG,LAC,8700,45.06,51.0,0
131010,Isaiah Thomas,PG,BOS,7800,42.27,54.25,0
131011,Jeff Teague,PG,IND,6400,31.49,36.5,0
131012,Jeremy Lin,PG,BKN,6400,0.0,0.0,0
131013,Mike Conley,PG,MEM,6200,31.34,35.25,0
131014,Jrue Holiday,PG,NO,6200,0.0,0.0,0
131015,Tim Frazier,PG,NO,6100,32.08,23.25,0
131016,Reggie Jackson,PG,DET,6000,0.1,0.0,0
131017,Goran Dragic,PG,MIA,6000,0.1,0.0,0
131018,Derrick Rose,PG,NY,5800,23.4452372952,13.0,0
131019,Deron Williams,PG,DAL,5600,0.1,0.0,0
131020,Elfrid Payton,PG,ORL,5600,34.0308847526,26.25,0
131021,Marcus Smart,PG,BOS,5400,22.4472028083,35.5,0
131022,Sergio Rodriguez,PG,PHI,5300,16.7767681921,17.0,0
131023,Ish Smith,PG,DET,5100,21.4421693936,27.5,0
131024,Jerryd Bayless,PG,PHI,4500,0.1,0.0,0
131025,Patty Mills,PG,SA,4500,15.9839338737,18.25,0
131026,Patrick Beverley,PG,HOU,4400,0.1,0.0,0
131027,Isaiah Whitehead,PG,BKN,4000,0.1,0.0,0
131028,Shelvin Mack,PG,UTA,3800,11.8674579127,27.25,0
131029,Tony Parker,PG,SA,3800,13.5169233192,24.75,0
131030,Brandon Jennings,PG,NY,3700,13.5900338411,12.25,0
131031,D.J. Augustin,PG,ORL,3500,16.3638903221,7.5,0
131032,Austin Rivers,PG,LAC,3300,21.2434961767,16.75,0
131033,Langston Galloway,PG,NO,3100,8.68755737933,31.25,0
131034,Beno Udrih,PG,DET,3000,9.40837926504,20.5,0
131035,Semaj Christon,PG,OKC,3000,12.7495602057,7.0,0
131036,Cameron Payne,PG,OKC,3000,0.1,0.0,0
131037,Bobby Brown,PG,HOU,3000,0.1,1.25,0
131038,T.J. McConnell,PG,PHI,3000,7.23527482427,16.75,0
131039,Tyler Ennis,PG,HOU,3000,3.45070140971,11.5,0
131040,Raul Neto,PG,UTA,3000,0.1,1.25,0
131041,Dante Exum,PG,UTA,3000,11.886305915,15.25,0
131042,Wade Baldwin IV,PG,MEM,3000,0.1,0.0,0
131043,Devin Harris,PG,DAL,3000,0.1,0.0,0
131044,C.J. Watson,PG,ORL,3000,7.78067197666,7.5,0
131045,Aaron Brooks,PG,IND,3000,15.3301969696,15.5,0
131046,Yogi Ferrell,PG,BKN,3000,1.74982330252,21.25,0
131047,Demetrius Jackson,PG,BOS,3000,0.1,0.0,0
131048,Terry Rozier,PG,BOS,3000,10.1272915483,10.0,0
131049,Nicolas Laprovittola,PG,SA,3000,0.1,0.0,0
131050,Bryn Forbes,PG,SA,3000,0.60473050556,0.0,0
131051,Dejounte Murray,PG,SA,3000,0.1,0.0,0
131052,Kawhi Leonard,SF,SA,8900,44.33,46.0,0
131053,Paul George,SF,IND,7900,41.18,33.5,0
131054,Gordon Hayward,SF,UTA,7600,38.91,22.0,0
131055,Carmelo Anthony,SF,NY,7500,39.83,41.25,0
131056,Jae Crowder,SF,BOS,5700,0.1,0.0,0
131057,Robert Covington,SF,PHI,5500,29.19,8.75,0
131058,Justise Winslow,SF,MIA,5300,17.6030109655,22.25,0
131059,Marcus Morris,SF,DET,5200,24.3472144572,22.5,0
131060,Trevor Ariza,SF,HOU,5100,34.0429695854,42.0,0
131061,Chandler Parsons,SF,MEM,4800,18.0320877415,15.0,0
131062,Rondae Hollis-Jefferson,SF,BKN,4400,17.3229609436,11.0,0
131063,Vince Carter,SF,MEM,4000,16.9057914848,33.75,0
131064,Justin Anderson,SF,DAL,3800,11.8451446872,13.75,0
131065,Jaylen Brown,SF,BOS,3600,7.07224852827,20.0,0
131066,Solomon Hill,SF,NO,3500,20.5735447118,20.75,0
131067,Glenn Robinson III,SF,IND,3300,12.6055379227,2.75,0
131068,Corey Brewer,SF,HOU,3100,12.8254803636,9.5,0
131069,Kyle Singler,SF,OKC,3000,0.79857296429,0.0,0
131070,Josh Huestis,SF,OKC,3000,0.1,0.0,0
131071,Michael Gbinije,SF,DET,3000,0.1,0.0,0
