Id,Name,Position,Team,Salary,Projected,Scored,Override
130536,Russell Westbrook,PG,OKC,11200,65.08,83.5,0
130537,Stephen Curry,PG,GS,9200,45.4,51.5,0
130538,Damian Lillard,PG,POR,8700,50.47,60.0,0
130539,Kemba Walker,PG,CHA,7900,43.83,33.5,0
130540,Kyrie Irving,PG,CLE,7400,38.8,31.25,0
130541,Eric Bledsoe,PG,PHO,7100,38.3,31.75,0
130542,D'Angelo Russell,PG,LAL,6000,38.5016678297,23.5,0
130543,Emmanuel Mudiay,PG,DEN,5900,35.42,10.0,0
130544,Elfrid Payton,PG,ORL,5600,17.9191152475,52.75,0
130545,Ricky Rubio,PG,MIN,5500,16.1993117131,37.0,0
130546,Kris Dunn,PG,MIN,4000,10.8042919503,12.5,0
130547,Tyus Jones,PG,MIN,4000,8.11616561005,10.0,0
130548,Jameer Nelson,PG,DEN,3800,16.01,16.5,0
130549,Ramon Sessions,PG,CHA,3700,16.4536963976,13.5,0
130550,Shaun Livingston,PG,GS,3500,11.2803151237,15.5,0
130551,D.J. Augustin,PG,ORL,3500,12.186109678,13.25,0
130552,Tyler Ulis,PG,PHO,3000,3.37012157504,0.0,0
130553,C.J. Watson,PG,ORL,3000,1.87932802333,7.5,0
130554,Semaj Christon,PG,OKC,3000,13.1795602057,3.0,0
130555,Cameron Payne,PG,OKC,3000,0.1,0.0,0
130556,John Lucas III,PG,MIN,3000,1.96,0.0,0
130557,Jose Calderon,PG,LAL,3000,6.77748447789,4.75,0
130558,Marcelo Huertas,PG,LAL,3000,11.2003280252,0.0,0
130559,Mo Williams,PG,CLE,3000,0.1,0.0,0
130560,Brian Roberts,PG,CHA,3000,2.12949031353,0.0,0
130561,Aaron Harrison,PG,CHA,3000,0.566341052282,0.0,0
130562,Kay Felder,PG,CLE,3000,4.63,3.0,0
130563,Shabazz Napier,PG,POR,3000,8.27621667351,0.0,0
130564,Tim Quarterman,PG,POR,3000,2.94678148548,0.0,0
130565,Malik Beasley,PG,DEN,3000,4.05,0.0,0
130566,LeBron James,SF/PF,CLE,9900,53.7,44.5,0
130567,Kevin Durant,SF/PF,GS,9100,50.18,52.75,0
130568,Aaron Gordon,SF/PF,ORL,5200,21.372482152,14.75,0
130569,Larry Nance Jr.,SF/PF,LAL,4200,20.61,12.5,0
130570,Luol Deng,SF/PF,LAL,3900,15.42,17.25,0
130571,Jeff Green,SF/PF,ORL,3600,12.4178081553,20.0,0
130572,Jerami Grant,SF/PF,OKC,3100,14.5400221383,4.0,0
130573,Karl-Anthony Towns,C,MIN,8300,42.18,43.5,0
130574,Nikola Vucevic,C,ORL,6100,29.03,17.25,0
130575,Jusuf Nurkic,C,DEN,5600,25.9490426387,20.25,0
130576,Steven Adams,C,OKC,5300,30.586492911,30.5,0
130577,Mason Plumlee,C,POR,5200,19.7673873699,28.25,0
130578,Tyson Chandler,C,PHO,4900,0.1,0.0,0
130579,Enes Kanter,C,OKC,4800,30.9342833202,29.5,0
130580,Alex Len,C,PHO,4700,21.2227951228,19.5,0
130581,Tristan Thompson,C,CLE,4600,28.8532659678,25.0,0
130582,Bismack Biyombo,C,ORL,4000,15.3773725619,17.5,0
130583,Cody Zeller,C,CHA,4000,22.24,6.0,0
130584,Cole Aldrich,C,MIN,3900,9.30638277256,15.25,0
130585,Timofey Mozgov,C,LAL,3500,16.72,14.0,0
130586,Roy Hibbert,C,CHA,3500,11.66,11.75,0
130587,Zaza Pachulia,C,GS,3400,16.77,13.0,0
130588,Anderson Varejao,C,GS,3000,4.71,0.0,0
130589,JaVale McGee,C,GS,3000,5.69,3.25,0
130590,Alan Williams,C,PHO,3000,0.1,0.0,0
130591,Damian Jones,C,GS,3000,0.1,0.0,0
130592,Nick Collison,C,OKC,3000,4.91692270638,1.5,0
130593,Nikola Pekovic,C,MIN,3000,0.1,0.0,0
130594,Tarik Black,C,LAL,3000,12.56,8.5,0
130595,Ivica Zubac,C,LAL,3000,0.1,3.0,0
130596,Chris Andersen,C,CLE,3000,3.88879704946,0.0,0
130597,Festus Ezeli,C,POR,3000,0.1,0.0,0
130598,Ed Davis,C,POR,3000,0.1,17.75,0
130599,Juancho Hernangomez,C,DEN,3000,16.3735646815,19.0,0
130600,Draymond Green,PF/C,GS,8000,42.58,49.75,0
130601,Kevin Love,PF/C,CLE,7600,37.53,40.75,0
130602,Gorgui Dieng,PF/C,MIN,6200,25.84,15.75,0
130603,Nikola Jokic,PF/C,DEN,5200,28.4491031225,11.75,0
130604,Serge Ibaka,PF/C,ORL,5100,19.7687351823,50.25,0
130605,Spencer Hawes,PF/C,CHA,3800,12.2774994205,18.75,0
130606,Joffrey Lauvergne,PF/C,OKC,3000,6.26,11.25,0
130607,C.J. McCollum,PG/SG,POR,7300,40.1,34.75,0
130608,Victor Oladipo,PG/SG,OKC,5200,31.7393219845,17.75,0
130609,Jordan Clarkson,PG/SG,LAL,5000,27.9375247701,21.25,0
130610,Brandon Knight,PG/SG,PHO,4400,14.9155741652,19.0,0
130611,Iman Shumpert,PG/SG,CLE,3300,18.66,23.75,0
130612,Jamal Murray,PG/SG,DEN,3200,14.6,26.25,0
130613,Ian Clark,PG/SG,GS,3000,11.9490802264,6.0,0
130614,Devin Booker,SG/SF,PHO,6800,32.26,34.5,0
130615,Nicolas Batum,SG/SF,CHA,6600,29.92,42.75,0
130616,Will Barton,SG/SF,DEN,5000,0.1,0.0,0
130617,Allen Crabbe,SG/SF,POR,4100,21.2930163994,8.5,0
130618,Andre Roberson,SG/SF,OKC,3700,14.6085124463,28.75,0
130619,Evan Turner,SG/SF,POR,3700,20.7864516083,31.75,0
130620,Mario Hezonja,SG/SF,ORL,3400,8.58250627913,0.0,0
130621,Patrick McCaw,SG/SF,GS,3000,11.17,15.5,0
130622,Brandon Rush,SG/SF,MIN,3000,0.1,0.0,0
130623,Shabazz Muhammad,SG/SF,MIN,3000,0.1,0.0,0
130624,Mike Dunleavy,SG/SF,CLE,3000,14.61,7.75,0
130625,Jeremy Lamb,SG/SF,CHA,3000,6.83550397435,0.0,0
130626,T.J. Warren,SF,PHO,6700,35.02,34.75,0
130627,Andrew Wiggins,SF,MIN,6600,36.27,58.5,0
130628,Danilo Gallinari,SF,DEN,5700,33.1573731295,31.25,0
130629,Maurice Harkless,SF,POR,4900,18.2114217968,29.5,0
130630,Michael Kidd-Gilchrist,SF,CHA,4800,14.8285102341,30.0,0
130631,Wilson Chandler,SF,DEN,4700,29.5412181871,30.25,0
130632,Andre Iguodala,SF,GS,3500,19.1709414358,14.75,0
130633,Brandon Ingram,SF,LAL,3300,0.1,16.75,0
130634,P.J. Tucker,SF,PHO,3000,13.0038100974,24.5,0
130635,Derrick Jones Jr.,SF,PHO,3000,0.1,0.0,0
130636,Kyle Singler,SF,OKC,3000,3.12142703571,0.0,0
130637,Josh Huestis,SF,OKC,3000,0.1,0.0,0
130638,Damjan Rudez,SF,ORL,3000,2.56203083103,1.25,0
130639,Metta World Peace,SF,LAL,3000,0.32,0.0,0
130640,Richard Jefferson,SF,CLE,3000,9.33212217907,14.5,0
130641,Pat Connaughton,SF,POR,3000,0.133511278315,0.0,0
130642,Zach LaVine,SG,MIN,6500,0.0,0.0,0
130643,Klay Thompson,SG,GS,6100,31.72,34.0,0
130644,Evan Fournier,SG,ORL,5500,24.6571886084,31.0,0
130645,Lou Williams,SG,LAL,5400,24.1147456771,28.75,0
130646,Nick Young,SG,LAL,4700,16.9548462338,11.75,0
130647,Gary Harris,SG,DEN,4700,0.1,0.0,0
130648,J.R. Smith,SG,CLE,4300,0.1,0.0,0
130649,Marco Belinelli,SG,CHA,3600,22.0105288125,15.25,0
130650,Leandro Barbosa,SG,PHO,3000,4.41341756573,18.25,0
130651,John Jenkins,SG,PHO,3000,0.1,0.0,0
130652,Anthony Morrow,SG,OKC,3000,0.1,0.0,0
130653,Jodie Meeks,SG,ORL,3000,0.1,0.0,0
130654,C.J. Wilcox,SG,ORL,3000,0.7483843314,0.0,0
130655,Alex Abrines,SG,OKC,3000,3.65844094613,10.75,0
130656,James Jones,SG,CLE,3000,0.39,0.0,0
130657,DeAndre Liggins,SG,CLE,3000,0.1,0.0,0
130658,Jordan McRae,SG,CLE,3000,0.1,9.0,0
130659,Treveon Graham,SG,CHA,3000,6.65299495248,0.0,0
130660,Mike Miller,SG,DEN,3000,3.02,0.0,0
130661,Julius Randle,PF,LAL,6400,33.61,26.0,0
130662,Marvin Williams,PF,CHA,5000,22.4870295774,28.0,0
130663,Kenneth Faried,PF,DEN,5000,34.5320709354,48.0,0
130664,Al-Farouq Aminu,PF,POR,4700,0.1,0.0,0
130665,Domantas Sabonis,PF,OKC,4000,21.65,6.5,0
130666,Frank Kaminsky,PF,CHA,3900,14.0414799808,8.75,0
130667,Jared Dudley,PF,PHO,3400,18.2486916923,28.25,0
130668,Channing Frye,PF,CLE,3400,16.72,32.25,0
130669,Marquese Chriss,PF,PHO,3300,9.65237858347,11.0,0
130670,David West,PF,GS,3000,16.1038834431,4.25,0
130671,James Michael McAdoo,PF,GS,3000,1.91384285435,0.0,0
130672,Kevon Looney,PF,GS,3000,13.3499328332,6.0,0
130673,Dragan Bender,PF,PHO,3000,4.56157320569,10.0,0
130674,Arinze Onuaku,PF,ORL,3000,0.1,0.0,0
130675,Stephen Zimmerman Jr.,PF,ORL,3000,0.1,0.0,0
130676,Jordan Hill,PF,MIN,3000,0.89108100984,0.0,0
130677,Thomas Robinson,PF,LAL,3000,4.61,1.25,0
130678,Nemanja Bjelica,PF,MIN,3000,9.047908355,48.5,0
130679,Adreian Payne,PF,MIN,3000,0.1,13.5,0
130680,Christian Wood,PF,CHA,3000,0.37,0.0,0
130681,Darrell Arthur,PF,DEN,3000,4.99617431767,0.0,0
130682,Meyers Leonard,PF,POR,3000,11.7278140701,19.0,0
130683,Jarnell Stokes,PF,DEN,3000,2.1375299041,0.0,0
130684,Jake Layman,PF,POR,3000,4.15616730662,2.0,0
130685,Noah Vonleh,PF,POR,3000,0.21752266152,-0.5,0
