Id,Name,Position,Team,Salary,Projected,Scored,Override
142703,James Harden,PG/SG,HOU,12000,55.9,75.25,0
142704,George Hill,PG/SG,UTA,6800,0.0,0.0,0
142705,Sean Kilpatrick,PG/SG,BKN,5800,21.9175,27.5,0
142706,Tyler Johnson,PG/SG,MIA,4900,21.75,27.0,0
142707,Matthew Dellavedova,PG/SG,MIL,4400,28.415,17.0,0
142708,Ian Clark,PG/SG,GS,3000,5.7425,6.75,0
142709,C.J. Watson,PG/SG,ORL,3000,5.265,5.5,0
142710,Iman Shumpert,PG/SG,CLE,3000,6.905,8.5,0
142711,Kevin Durant,SF/PF,GS,10200,53.54,72.25,0
142712,LeBron James,SF/PF,CLE,9300,48.18,31.25,0
142713,Harrison Barnes,SF/PF,DAL,6200,30.84,33.75,0
142714,Jabari Parker,SF/PF,MIL,6100,34.08,30.25,0
142715,Trevor Ariza,SF/PF,HOU,5400,22.37,22.0,0
142716,Aaron Gordon,SF/PF,ORL,4300,12.565,16.75,0
142717,James Johnson,SF/PF,MIA,4200,16.7,40.5,0
142718,Michael Beasley,SF/PF,MIL,3500,24.7025,16.25,0
142719,Jeff Green,SF/PF,ORL,3100,6.06,19.0,0
142720,Giannis Antetokounmpo,PG,MIL,9900,54.73,58.0,0
142721,Stephen Curry,PG,GS,9200,48.77,46.75,0
142722,Chris Paul,PG,LAC,9100,41.52,40.5,0
142723,Kemba Walker,PG,CHA,7800,39.91,31.25,0
142724,Kyrie Irving,PG,CLE,7400,34.08,32.0,0
142725,Mike Conley,PG,MEM,6900,0.0,0.0,0
142726,Goran Dragic,PG,MIA,6300,33.11,41.0,0
142727,Jeremy Lin,PG,BKN,5900,0.1,0.0,0
142728,Elfrid Payton,PG,ORL,5000,18.68,18.75,0
142729,J.J. Barea,PG,DAL,5000,0.1,0.0,0
142730,Patrick Beverley,PG,HOU,4600,18.645,22.25,0
142731,D.J. Augustin,PG,ORL,4600,13.485,12.75,0
142732,Andrew Harrison,PG,MEM,4400,32.185,29.0,0
142733,Deron Williams,PG,DAL,4000,22.08,29.25,0
142734,Isaiah Whitehead,PG,BKN,3600,13.76,19.0,0
142735,Shaun Livingston,PG,GS,3400,5.9425,14.25,0
142736,Ramon Sessions,PG,CHA,3400,9.845,12.5,0
142737,Wade Baldwin IV,PG,MEM,3300,15.565,16.0,0
142738,Austin Rivers,PG,LAC,3300,22.29,28.0,0
142739,Jason Terry,PG,MIL,3000,12.565,4.5,0
142740,Randy Foye,PG,BKN,3000,7.4125,21.5,0
142741,Yogi Ferrell,PG,BKN,3000,0.275,2.0,0
142742,Bobby Brown,PG,HOU,3000,0.1,0.0,0
142743,Tyler Ennis,PG,HOU,3000,4.535,0.0,0
142744,Mo Williams,PG,CLE,3000,0.1,0.0,0
142745,Kay Felder,PG,CLE,3000,0.1,3.75,0
142746,Shelvin Mack,PG,UTA,3000,7.23,26.25,0
142747,Raul Neto,PG,UTA,3000,0.1,3.0,0
142748,Dante Exum,PG,UTA,3000,11.94,11.0,0
142749,Devin Harris,PG,DAL,3000,1.27,5.0,0
142750,Brian Roberts,PG,CHA,3000,1.075,0.0,0
142751,Aaron Harrison,PG,CHA,3000,1.025,0.0,0
142752,Blake Griffin,PF,LAC,8700,39.03,37.75,0
142753,Trevor Booker,PF,BKN,6000,39.3,24.5,0
142754,Derrick Favors,PF,UTA,5800,0.1,0.0,0
142755,Dirk Nowitzki,PF,DAL,5000,0.1,0.0,0
142756,Frank Kaminsky,PF,CHA,5000,16.9125,6.75,0
142757,Ryan Anderson,PF,HOU,4600,18.16,36.75,0
142758,JaMychal Green,PF,MEM,4500,26.28,25.75,0
142759,Marvin Williams,PF,CHA,4000,0.1,0.0,0
142760,Channing Frye,PF,CLE,3400,1.36,10.75,0
142761,Jarell Martin,PF,MEM,3100,14.04,18.5,0
142762,Mirza Teletovic,PF,MIL,3000,16.6325,18.25,0
142763,Chris McCullough,PF,BKN,3000,6.31,-0.5,0
142764,Thon Maker,PF,MIL,3000,7.5425,2.0,0
142765,David West,PF,GS,3000,5.1575,2.0,0
142766,Kyle Wiltjer,PF,HOU,3000,0.1,0.0,0
142767,James Michael McAdoo,PF,GS,3000,0.1,10.0,0
142768,Kevon Looney,PF,GS,3000,1.9225,2.0,0
142769,Arinze Onuaku,PF,ORL,3000,0.8425,0.0,0
142770,Brandan Wright,PF,MEM,3000,0.1,0.0,0
142771,Stephen Zimmerman Jr.,PF,ORL,3000,0.1,0.0,0
142772,Brice Johnson,PF,LAC,3000,0.1,0.0,0
142773,Chris Bosh,PF,MIA,3000,0.1,0.0,0
142774,Udonis Haslem,PF,MIA,3000,0.68,0.0,0
142775,Luke Babbitt,PF,MIA,3000,6.815,3.0,0
142776,Derrick Williams,PF,MIA,3000,1.175,0.0,0
142777,Joel Bolomboy,PF,UTA,3000,0.1,0.0,0
142778,Christian Wood,PF,CHA,3000,0.1,0.0,0
142779,Hassan Whiteside,C,MIA,8200,44.11,23.5,0
142780,Marc Gasol,C,MEM,7000,39.78,43.5,0
142781,Brook Lopez,C,BKN,6700,34.83,28.0,0
142782,DeAndre Jordan,C,LAC,6500,35.44,29.75,0
142783,Rudy Gobert,C,UTA,6500,38.18,26.0,0
142784,Nikola Vucevic,C,ORL,6200,36.02,39.25,0
142785,Clint Capela,C,HOU,5700,26.17,17.5,0
142786,Tristan Thompson,C,CLE,5200,21.58,16.5,0
142787,Cody Zeller,C,CHA,4400,23.07,18.25,0
142788,Bismack Biyombo,C,ORL,4300,13.13,20.0,0
142789,John Henson,C,MIL,4000,28.8675,32.5,0
142790,Andrew Bogut,C,DAL,4000,4.2675,0.0,0
142791,Greg Monroe,C,MIL,3900,28.1125,15.0,0
142792,Justin Hamilton,C,BKN,3800,16.46,14.5,0
142793,Willie Reed,C,MIA,3600,2.62,11.0,0
142794,Zaza Pachulia,C,GS,3300,21.475,8.75,0
142795,Miles Plumlee,C,MIL,3000,8.325,0.0,0
142796,Nene Hilario,C,HOU,3000,0.1,0.0,0
142797,Anderson Varejao,C,GS,3000,5.85,0.0,0
142798,JaVale McGee,C,GS,3000,12.59,5.75,0
142799,Damian Jones,C,GS,3000,0.1,0.0,0
142800,Chinanu Onuaku,C,HOU,3000,0.1,0.0,0
142801,Deyonta Davis,C,MEM,3000,11.125,8.0,0
142802,Chris Andersen,C,CLE,3000,6.12,3.25,0
142803,Diamond Stone,C,LAC,3000,0.1,0.0,0
142804,Josh McRoberts,C,MIA,3000,11.3,16.75,0
142805,Jeff Withey,C,UTA,3000,13.0925,14.5,0
